source,firstname,population,sample
nzdia,Jack,1244,26
nzdia,Oliver,1241,29
nzdia,Liam,1233,20
nzdia,William,1176,28
nzdia,James,1129,14
nzdia,Samuel,1055,17
nzdia,Lucas,1052,21
nzdia,Noah,1025,16
nzdia,Joshua,999,19
nzdia,Jacob,987,9
nzdia,Benjamin,950,16
nzdia,Ethan,937,12
nzdia,Mason,915,8
nzdia,Thomas,892,18
nzdia,Cooper,887,12
nzdia,Ryan,885,10
nzdia,Daniel,874,10
nzdia,Max,851,16
nzdia,Hunter,806,6
nzdia,Blake,775,6
nzdia,Lachlan,726,16
nzdia,Isaac,718,11
nzdia,Charlie,717,11
nzdia,Alexander,702,18
nzdia,Tyler,682,7
nzdia,Jayden,678,2
nzdia,Riley,677,10
nzdia,Levi,661,9
nzdia,Luke,647,7
nzdia,Connor,603,12
nzdia,George,601,9
nzdia,Leo,595,12
nzdia,Jackson,594,7
nzdia,Caleb,571,12
nzdia,Elijah,566,5
nzdia,Xavier,554,6
nzdia,Dylan,519,6
nzdia,Nathan,511,7
nzdia,Harry,509,9
nzdia,Matthew,509,8
nzdia,Joseph,503,6
nzdia,Logan,503,3
nzdia,Oscar,503,9
nzdia,Eli,481,11
nzdia,Finn,452,11
nzdia,Harrison,442,7
nzdia,Carter,438,4
nzdia,Henry,425,9
nzdia,Jake,425,3
nzdia,Luca,400,8
nzdia,Toby,396,9
nzdia,Alex,390,5
nzdia,Cameron,386,13
nzdia,Michael,377,2
nzdia,Zachary,346,3
nzdia,Flynn,344,3
nzdia,John,330,1
nzdia,Ashton,320,4
nzdia,David,316,3
nzdia,Ryder,315,3
nzdia,Aiden,314,5
nzdia,Braxton,308,5
nzdia,Charles,302,2
nzdia,Jordan,302,2
nzdia,Angus,301,9
nzdia,Archie,287,8
nzdia,Phoenix,285,2
nzdia,Felix,277,6
nzdia,Edward,274,3
nzdia,Adam,273,7
nzdia,Kingston,271,NA
nzdia,Louis,270,NA
nzdia,Jaxon,267,2
nzdia,Sam,266,8
nzdia,Lincoln,256,NA
nzdia,Sebastian,250,3
nzdia,Fletcher,243,2
nzdia,Austin,237,1
nzdia,Aidan,234,7
nzdia,Marcus,230,1
nzdia,Jesse,221,5
nzdia,Patrick,221,4
nzdia,Quinn,219,3
nzdia,Tyson,218,2
nzdia,Joel,188,3
nzdia,Aaron,181,1
nzdia,Christian,175,1
nzdia,Robert,174,NA
nzdia,Maxwell,172,4
nzdia,Dominic,169,5
nzdia,Cody,156,2
nzdia,Hugo,144,3
nzdia,Seth,130,3
nzdia,Andrew,124,1
nzdia,Nicholas,122,4
nzdia,Beau,119,2
nzdia,Nathaniel,118,3
nzdia,Chase,116,NA
nzdia,Ben,114,10
nzdia,Zac,111,3
nzdia,Declan,108,4
nzdia,Gabriel,108,4
nzdia,Leon,106,4
nzdia,Zion,104,1
nzdia,Roman,103,NA
nzdia,Christopher,99,NA
nzdia,Brooklyn,64,1
nzdia,Kayden,63,1
nzdia,Reuben,61,3
nzdia,Taylor,60,3
nzdia,Sione,58,NA
nzdia,Arlo,57,1
nzdia,Jasper,57,4
nzdia,Mitchell,57,2
nzdia,Theodore,57,6
nzdia,Hayden,56,3
nzdia,Jonathan,56,3
nzdia,Lewis,56,1
nzdia,Isaiah,53,1
nzdia,Jamie,53,8
nzdia,Archer,52,3
nzdia,Cruz,52,1
nzdia,Israel,52,NA
nzdia,Vincent,51,NA
nzdia,Asher,50,6
nzdia,Nate,48,2
NA,Elliot,NA,5
NA,Nico,NA,5
NA,Sean,NA,5
NA,Theo,NA,5
NA,Callum,NA,4
NA,Elias,NA,4
NA,Maddox,NA,4
NA,Tate,NA,4
NA,Timothy,NA,4
NA,Xander,NA,4
NA,Anthony,NA,3
NA,Brodie,NA,3
NA,Cohen,NA,3
NA,Elliott,NA,3
NA,Finley,NA,3
NA,Hamish,NA,3
NA,Jeremy,NA,3
NA,Jett,NA,3
NA,Joe,NA,3
NA,Kieran,NA,3
NA,Kyle,NA,3
NA,Luka,NA,3
NA,Peter,NA,3
NA,Regan,NA,3
NA,Reid,NA,3
NA,Spencer,NA,3
NA,Stanley,NA,3
NA,Tom,NA,3
NA,Zack,NA,3
NA,Aden,NA,2
NA,Alfie,NA,2
NA,Alfred,NA,2
NA,Ari,NA,2
NA,August,NA,2
NA,Bailey,NA,2
NA,Barnaby,NA,2
NA,Baxter,NA,2
NA,Benedict,NA,2
NA,Benji,NA,2
NA,Boston,NA,2
NA,Cade,NA,2
NA,Conrad,NA,2
NA,Corben,NA,2
NA,Dante,NA,2
NA,Dexter,NA,2
NA,Evan,NA,2
NA,Evander,NA,2
NA,Ezekiel,NA,2
NA,Ezra,NA,2
NA,Fintan,NA,2
NA,Frank,NA,2
NA,Gus,NA,2
NA,Harvey,NA,2
NA,Hudson,NA,2
NA,Hugh,NA,2
NA,Huw,NA,2
NA,Jakob,NA,2
NA,Jason,NA,2
NA,Jed,NA,2
NA,Julian,NA,2
NA,Kaden,NA,2
NA,Keegan,NA,2
NA,Micah,NA,2
NA,Miles,NA,2
NA,Miller,NA,2
NA,Monty,NA,2
NA,Niko,NA,2
NA,Owen,NA,2
NA,Remy,NA,2
NA,Rio,NA,2
NA,Rory,NA,2
