source,firstname,population,sample
nzdia,Sophie,1251,26
nzdia,Olivia,1228,15
nzdia,Ruby,1213,18
nzdia,Charlotte,1151,20
nzdia,Isabella,1038,16
nzdia,Emily,1035,29
nzdia,Ella,955,7
nzdia,Amelia,896,28
nzdia,Chloe,885,10
nzdia,Lily,885,15
nzdia,Ava,846,15
nzdia,Grace,815,12
nzdia,Emma,788,8
nzdia,Isla,787,18
nzdia,Zoe,727,23
nzdia,Sophia,726,6
nzdia,Mia,721,11
nzdia,Lucy,719,20
nzdia,Paige,616,5
nzdia,Hannah,579,6
nzdia,Georgia,572,12
nzdia,Jessica,564,10
nzdia,Madison,546,3
nzdia,Eva,537,9
nzdia,Sienna,459,8
nzdia,Mila,438,8
nzdia,Bella,432,2
nzdia,Holly,405,8
nzdia,Maia,401,3
nzdia,Abigail,384,6
nzdia,Eden,358,3
nzdia,Scarlett,357,5
nzdia,Summer,357,1
nzdia,Stella,355,4
nzdia,Alexis,350,7
nzdia,Maddison,346,4
nzdia,Samantha,343,7
nzdia,Elizabeth,339,11
nzdia,Zara,332,5
nzdia,Aria,317,8
nzdia,Isabelle,312,1
nzdia,Jasmine,309,2
nzdia,Molly,306,6
nzdia,Alice,304,8
nzdia,Brooke,301,7
nzdia,Sarah,295,1
nzdia,Lilly,292,3
nzdia,Jade,290,3
nzdia,Addison,289,7
nzdia,Leah,287,1
nzdia,Nevaeh,284,1
nzdia,Mackenzie,282,8
nzdia,Amber,279,2
nzdia,Willow,277,2
nzdia,Hazel,272,8
nzdia,Aaliyah,271,1
nzdia,Sofia,270,4
nzdia,Annabelle,264,7
nzdia,Anna,258,6
nzdia,Peyton,257,4
nzdia,Poppy,256,3
nzdia,Taylor,256,1
nzdia,Hayley,253,1
nzdia,Pippa,253,6
nzdia,Harper,251,3
nzdia,Alyssa,240,1
nzdia,Kate,239,3
nzdia,Phoebe,239,5
nzdia,Olive,237,3
nzdia,Mikayla,232,3
nzdia,Kayla,231,1
nzdia,Keira,227,2
nzdia,Layla,224,2
nzdia,Ayla,221,4
nzdia,Isabel,210,NA
nzdia,Millie,208,5
nzdia,Ivy,199,4
nzdia,Faith,192,2
nzdia,Violet,190,3
nzdia,Caitlin,184,9
nzdia,Brooklyn,180,1
nzdia,Amy,174,NA
nzdia,Rose,174,4
nzdia,Piper,162,3
nzdia,Ellie,159,2
nzdia,Nina,159,5
nzdia,Victoria,158,NA
nzdia,Evelyn,154,7
nzdia,Matilda,153,10
nzdia,Lola,152,3
nzdia,Natalie,148,6
nzdia,Alexandra,143,6
nzdia,Lucia,139,4
nzdia,Indie,133,4
nzdia,Katie,126,6
nzdia,Tayla,123,NA
nzdia,Ashley,121,5
nzdia,Riley,116,2
nzdia,Daisy,99,3
nzdia,Khloe,98,NA
nzdia,Savannah,96,2
nzdia,Lauren,92,3
nzdia,Maya,92,2
nzdia,Rebecca,92,1
nzdia,Maria,91,1
nzdia,Imogen,89,8
nzdia,Danielle,55,2
nzdia,Evie,54,2
nzdia,Harmony,54,NA
nzdia,Charlie,52,NA
nzdia,Manaia,52,NA
nzdia,Skyla,50,NA
nzdia,Elise,48,6
nzdia,Angel,47,NA
nzdia,Florence,47,5
nzdia,Aurora,45,4
nzdia,Esther,45,1
nzdia,Katelyn,45,NA
nzdia,Madeleine,45,3
nzdia,Payton,44,4
nzdia,Sasha,44,2
nzdia,Tessa,44,4
nzdia,Ariana,43,1
nzdia,Claire,43,2
nzdia,Isobel,43,5
nzdia,Indi,42,1
NA,Elsie,NA,6
NA,Erin,NA,6
NA,Gemma,NA,6
NA,Greta,NA,6
NA,Harriet,NA,6
NA,Quinn,NA,6
NA,Eliza,NA,5
NA,Indiana,NA,5
NA,Bethany,NA,4
NA,Briar,NA,4
NA,Bridget,NA,4
NA,Clara,NA,4
NA,Eleanor,NA,4
NA,Eloise,NA,4
NA,Greer,NA,4
NA,Josephine,NA,4
NA,Lara,NA,4
NA,Neve,NA,4
NA,Niamh,NA,4
NA,Rosa,NA,4
NA,Sylvie,NA,4
NA,Abbie,NA,3
NA,Aimee,NA,3
NA,Chelsea,NA,3
NA,Emilie,NA,3
NA,Gracie,NA,3
NA,Heidi,NA,3
NA,Honor,NA,3
NA,Jenna,NA,3
NA,Juliet,NA,3
NA,Kenzie,NA,3
NA,Madeline,NA,3
NA,Naomi,NA,3
NA,Sadie,NA,3
NA,Xanthe,NA,3
NA,Abbey,NA,2
NA,Ada,NA,2
NA,Adelaide,NA,2
NA,Aila,NA,2
NA,Ana,NA,2
NA,Anya,NA,2
NA,April,NA,2
NA,Ashleigh,NA,2
NA,Aurelia,NA,2
NA,Beth,NA,2
NA,Billie,NA,2
NA,Bonnie,NA,2
NA,Bree,NA,2
NA,Cadence,NA,2
NA,Cara,NA,2
NA,Cassandra,NA,2
NA,Courtney,NA,2
NA,Danika,NA,2
NA,Edith,NA,2
NA,Elena,NA,2
NA,Elinor,NA,2
NA,Elisabeth,NA,2
NA,Elodie,NA,2
NA,Eve,NA,2
NA,Freya,NA,2
NA,Hanna,NA,2
NA,Helena,NA,2
NA,India,NA,2
NA,Iris,NA,2
NA,Isobella,NA,2
NA,Jaime,NA,2
NA,Jemima,NA,2
NA,Juliette,NA,2
NA,Juno,NA,2
NA,Kaia,NA,2
NA,Katherine,NA,2
NA,Kiera,NA,2
NA,Libby,NA,2
NA,Lydia,NA,2
NA,Macey,NA,2
NA,Maisie,NA,2
NA,Mary,NA,2
NA,Nadia,NA,2
NA,Nicola,NA,2
NA,Rita,NA,2
NA,Sabine,NA,2
NA,Tahlia,NA,2
NA,Tamsin,NA,2
NA,Thea,NA,2
NA,Vesper,NA,2
NA,Vivienne,NA,2
NA,Zaria,NA,2
NA,Aaleeya,NA,1
NA,Aanvika,NA,1
NA,Abbigail,NA,1
NA,Abby,NA,1
NA,Abriella,NA,1
NA,Adabella,NA,1
NA,Adalee,NA,1
NA,Adara,NA,1
NA,Addisyn,NA,1
NA,Adele,NA,1
NA,Adelyn,NA,1
NA,Aili,NA,1
NA,Aisling,NA,1
NA,Ajah,NA,1
NA,Akina,NA,1
NA,Albertine,NA,1
NA,Aleah,NA,1
NA,Aleksandra,NA,1
NA,Alethea,NA,1
NA,Alexa,NA,1
NA,Alicia,NA,1
NA,Alissa,NA,1
NA,Aliyah,NA,1
NA,Allison,NA,1
NA,Allyssa-Mae,NA,1
NA,Althea,NA,1
NA,Alyssa-May,NA,1
NA,Amanda,NA,1
NA,Amara,NA,1
NA,Anahera,NA,1
NA,Anastasia,NA,1
NA,Annah,NA,1
NA,Annie,NA,1
NA,Anoushka,NA,1
NA,Anthea,NA,1
NA,Aoife,NA,1
NA,Arabella,NA,1
NA,Aralyn,NA,1
NA,Ari,NA,1
NA,Ariel,NA,1
NA,Ariya,NA,1
NA,Arlia,NA,1
NA,Arwen,NA,1
NA,Arwyn,NA,1
NA,Arya,NA,1
NA,Asha,NA,1
NA,Ashlee,NA,1
NA,Ashtiva,NA,1
NA,Astar,NA,1
NA,Audrey,NA,1
NA,Autumn,NA,1
NA,Autumn-Rose,NA,1
NA,Avei,NA,1
NA,Avie,NA,1
NA,Beatrice,NA,1
NA,Beatrix,NA,1
NA,Bethan,NA,1
NA,Bianka,NA,1
NA,Bonnie-Mae,NA,1
NA,Bowie,NA,1
NA,Breanna,NA,1
NA,Brennagh,NA,1
NA,Brie,NA,1
NA,Briony,NA,1
NA,Brittany,NA,1
NA,Bryah,NA,1
NA,Brydie,NA,1
NA,Brynlee,NA,1
NA,Caeli,NA,1
NA,Caiden,NA,1
NA,Caitlyn,NA,1
NA,Caitlynn,NA,1
NA,Calla,NA,1
NA,Camilla,NA,1
NA,Camille,NA,1
NA,Caroline,NA,1
NA,Carrington,NA,1
NA,Carys,NA,1
NA,Casey,NA,1
NA,Cassidy,NA,1
NA,Cassie,NA,1
NA,Cate,NA,1
NA,Catelyn,NA,1
NA,Catherine,NA,1
NA,Cayleigh,NA,1
NA,Cecilia,NA,1
NA,Charlette,NA,1
NA,Charley,NA,1
NA,Charlotte-Jane,NA,1
NA,Cheyenne,NA,1
NA,Chloë,NA,1
NA,Ciara,NA,1
NA,Clare,NA,1
NA,Claudia,NA,1
NA,Clodagh,NA,1
NA,Connor,NA,1
NA,Cora,NA,1
NA,Coralee,NA,1
NA,Crystal,NA,1
NA,Danae,NA,1
NA,Danica,NA,1
NA,Darci,NA,1
NA,Daytona,NA,1
NA,Devon,NA,1
NA,Dilana,NA,1
NA,Dresden-James,NA,1
NA,Ebony,NA,1
NA,Eibhilinn,NA,1
NA,Eilish,NA,1
NA,Eira,NA,1
NA,Eleanoe,NA,1
NA,Elia,NA,1
NA,Elle,NA,1
NA,Elliott,NA,1
NA,Elliotte,NA,1
NA,Ellyssa,NA,1
NA,Elska,NA,1
NA,Emerald,NA,1
NA,Emilia,NA,1
NA,Emjey,NA,1
NA,Emmi,NA,1
NA,Erina,NA,1
NA,Erynn,NA,1
NA,Esmae,NA,1
NA,Estella,NA,1
NA,Etta,NA,1
NA,Eulalia,NA,1
NA,Farrah,NA,1
NA,Felicity,NA,1
NA,Fia,NA,1
